message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,Verified bank payment update matches the user's active account and a prior identical message they opened and replied to.,0.88,message_0243
msg_091,mute,scam,Verification-code request with account-expiry pressure matches a reported scam pattern from this sender.,0.86,message_0238
msg_090,digest,unknown,"First contact asks a general package question without today's deadline, payment request, or safety concern.",0.83,none
msg_048,mute,scam,QR payment demand with access-blocking pressure matches this sender’s previously reported scam pattern.,0.86,message_0151
msg_040,mute,forward,Repeated forwarded chain messages from this sender are dismissed and muted by the user in an already muted family group.,0.86,message_0136;message_0135
msg_075,notify,business_update,Verified Grab ride update matches the user's booking today and may affect pickup or arrival plans.,0.88,message_0206
msg_005,notify,personal,"Known seller asks for a same-day pickup decision, and this user consistently opens and often replies to their messages.",0.88,message_0049
msg_104,mute,promotion,"Repeated resale offers from this sender were dismissed and muted by the user, indicating this promotion is unwanted.",0.85,message_0050
msg_069,mute,greeting,"Repeated forwarded greetings from this sender are consistently dismissed, and the family group is muted by this user.",0.86,message_0042;message_0178
msg_107,mute,scam,OTP request and routing override are clear scam signals requiring the user to disclose a verification code.,0.86,message_0023
msg_070,mute,scam,OTP and account-blocking pressure with a verification link matches this sender’s earlier security scam pattern.,0.86,message_0023;message_0195
msg_003,notify,business_update,Verified Amazon order update matches the user's active order and indicates delivery progress today.,0.88,message_0031
msg_099,digest,personal,Known sender's non-blocking review notes can wait for digest despite a tomorrow standup reading request.,0.82,message_0227
msg_008,digest,business_update,Verified Hoop feedback request matches the user's recent purchase and can wait beyond quiet hours.,0.83,message_0071
msg_092,digest,payment,"Verified card statement is a legitimate payment update but requests review whenever convenient, so it can wait.",0.83,none
msg_060,notify,urgent,Same-day faculty deadline requires submitting internship documents before the portal closes at 5 PM.,0.89,message_0176
msg_004,notify,event,Verified healthcare update matches the user's upcoming appointment and asks review before the scheduled time.,0.88,message_0005
msg_030,mute,promotion,"This user repeatedly dismisses this sender’s marketplace sales, and the group is already muted.",0.86,message_0050;message_0115
msg_045,notify,urgent,Immediate gate delivery request with a ten-minute deadline requires the user’s action now.,0.88,message_0031
msg_052,mute,scam,"Repeated refund messages request wallet details through a mismatched domain, and this user previously reported and muted them.",0.86,message_0159
msg_009,mute,event,"This casual sports thread is low priority, and the user has muted the group despite opening similar invitations.",0.84,message_0074
msg_071,digest,personal,"Ambiguous family plan for tomorrow is useful but not urgent, and this sender’s prior messages were opened.",0.82,message_0197
